manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil
Arri / Zeiss,Ultra 16,6mm,1.3,"8""",S16,95mm,1000g,92mm,PL,,
,,8mm,1.3,"12""",S16,95mm,1000g,92mm,PL,,
,,10mm,1.3,"12""",S16,95mm,1000g,92mm,PL,,
,,12mm,1.3,"12""",S16,95mm,1000g,92mm,PL,,
,,14mm,1.3,"12""",S16,95mm,1000g,92mm,PL,,
,,18mm,1.3,"12""",S16,95mm,1200g,92mm,PL,,
,,25mm,1.3,"12""",S16,95mm,1200g,92mm,PL,,
,,35mm,1.3,"14""",S16,95mm,1100g,92mm,PL,,
,,50mm,1.3,"16""",S16,95mm,1200g,92mm,PL,,
,,,,,,,,,,,
,Superspeed Mk. 3,10mm,1.3,"10""",S16,80mm,680g,64mm,PL,9,76.3mm
,,12mm,1.3,"8""",S16,80mm,680g,64mm,PL,9,77.2mm
,,16mm,1.3,"8""",S16,80mm,680g,64mm,PL,9,68.1mm
,,25mm,1.3,"10""",S16,80mm,900g,70mm,PL,9,58.0mm
,,50mm,1.3,"2' 4""",S16,80mm,900g,70mm,PL,9,29.0mm
,,,,,,,,,,,
,Standard Speed,8mm,2.1,"8""",N16 only,80mm,450g,51mm,PL,,
,,,,,,,,,,,
Cooke,SK4,6mm,2.0,"8""",S16,110mm,1600g,165mm,PL,,
,,10mm,2.0,"8""",S16,110mm,1400g,165mm,PL,,
,,12mm,2.0,"8""",S16,110mm,1500g,165mm,PL,,
,,,,,,,,,,,
,Kinetal,9mm,2.0,"9.8""",,,,,Arri Standard,,
,,13mm,2.0,"12""",,,,,Arri Standard,,
,,18mm,2.0,"12""",,,,,Arri Standard,,
,,25mm,2.0,"12""",,,,,Arri Standard,,
,,38mm,2.0,"1' 9""",,,,,Arri Standard,,
,,50mm,2.0,3',,,,,Arri Standard,,
,,75mm,2.8,4',,,,,Arri Standard,,
,,100mm,2.8,7',,,,,Arri Standard,,
,,150mm,4.0,"9' 6""",,,,,Arri Standard,,
,,,,,,,,,,,
Optex,,4mm,2.0,fixed,N16 only,153mm,1360g,76mm,,,
,,4mm,1.9,"8""",S16,,,,PL / Bay / Aa,,
,,6mm,2.0,"8""",,,,,PL / Bay / Aa,,
,,8mm,1.9,"15""",,,,,PL / Bay / Aa,,
,,,,,,,,,,,
Century,,2mm,2.8,,,,,,,,
,,4mm,2.8,,,,,,,,
,S2000,6mm,1.9,"12""",,,,,PL,,
,,,,,,,,,,,
Angenieux,,6mm,2.0,fixed,N16 only,75mm,450g,41mm,,,
,,,,,,,,,,,
Elite,,5mm,2.2,"6""",S16,70mm,680g,64mm,,,
,,7mm,1.3,"8""",S16,104mm,1588g,76mm,,,
,,20mm,1.3,"10""",S16,80mm,1360g,70mm,,,
,,,,,,,,,,,
,,,,,,,,,,,
Optar,Illumina S16,8mm,1.3,"10""",15.1mm,80mm,700g,57mm,PL / Bay / Aa,,
,,10mm,1.3,"10""",15.2mm,80mm,640g,57mm,PL / Bay / Aa,,
,,12mm,1.3,"10""",15.3mm,80mm,626g,57mm,PL / Bay / Aa,,
,,16mm,1.3,"10""",15.8mm,80mm,662g,61mm,PL / Bay / Aa,,
,,25mm,1.3,"10""",17.1mm,80mm,635g,61mm,PL / Bay / Aa,,
,,50mm,1.3,"20""",27.1mm,80mm,671g,65mm,PL / Bay / Aa,,
,,,,,,,,,,,
Cinema Products,Ultra T,9mm,1.35,"9""",N16 only,80mm,,,,,
,,13mm,1.25,"12""",N16 only,80mm,,,,,
,,16mm,1.25,"9""",N16 only,80mm,,,,,
,,25mm,1.25,"12""",N16 only,80mm,,,,,
,,,,,,,,,,,
Hawk,,7mm,1.3,"8""",,,,,,,
,,,,,,,,,,,
Kinoptik,Tégéa,5mm,1.9,fixed,16mm,,,,,,
,Tégéa,6mm,2.0,"19""",16mm,,,,PL / Bay / AStd,8,
,Grand angle,9mm,1.7,"9""",16mm,,,,,,
,"Grand angle ""N""",9mm,1.7,,16mm,,,,,,
,Grand angle,13mm,1.8,,16mm,,,,,,
,Grand angle,18mm,2.2,,16mm,,,,,,
,,,,,,,,,,,
Panther,,7mm,1.3,,,,,,,,
,,8mm,1.3,,,,,,,,
,,35mm,1.3,"24""",S16,80mm,900g,102mm,,,
,,,,,,,,,,,
Schneider,Cinegon,10mm,f/1.8,,,34mm,,,C,,
,Cine-Xenon,16mm,f/2.0,,,34mm,,,C,,
,,25mm,f/1.4,,,34mm,,,C,,
,,50mm,f/2.0,,,34mm,,,C,,
,Cine-Tele-Xenar,75mm,f/2.8,,,34mm,,,C,,
,,100mm,f/2.8,,,44mm,,,C,,
,,150mm,f/4.0,,,44mm,,,C,,