manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,notes / comments
Various (remount only),Canon,200mm,1.8,9',,,,,,,
,,200mm,2.8,5',,,,,,,
,,300mm,2.0,15',,,,,,,
,,300mm,2.8,,,,,,,,
,,400mm,2.8,15',,,,,,,
,,600mm,4.5,27',,,,,,,
,,800mm,5.6,45',,,,,,,
,,1200mm,5.6,,,,,,,,
,Nikkor,6mm fisheye,2.8,,,,,,,,
,,8mm fisheye,2.8,,,,,,,,
,,200mm,2.0,8',,,,,,,
,,300mm,2.0,13',,,,,,,
,,400mm,2.8,,,,,,,,
,,500mm,4.0,,,,,,,,
,,600mm,4.0,,,,,,,,
,,800mm,5.6,,,,,,,,
,Olympus,250mm,2.0,"7' 2""",,142mm,3900g,246mm,,,
,,,,,,,,,,,
GL Optics,Laowa,12mm,2.9,"7""",48mm,80mm,750g,,PL / EF / F / E,,
,Sigma,35mm,1.4,,,95mm,,,PL / EF / F / E,,
,Sigma,50mm,1.4,,,95mm,,,PL / EF / F / E,,
,Canon,200mm,3.0,,>43.3mm,95mm,,,PL,,
,Canon Macro,200mm,4.0,"22""",>43.3mm,95mm,,,PL,,
,Canon,300mm,3.0,,,114mm,,,PL,,
,Canon,135mm,2.1,,,95mm,,,PL,,
,Tokina,100mm,3.0,"12""",,95mm,,,PL,,
,,,,,,,,,,,
Peleng,,8mm,f/3.5,,,,,,,,
,,,,,,,,,,,
Century,Nikkor S2000,8mm,2.8,,22mm,,,,,,
,Kinoptic,9.8mm,2.3,"8.5""",,,,,,,
,Canon S2000,200mm,2.0,,,,,,,,
,Canon S2000,300mm,3.0,,,,,,,,
,Canon S2000,400mm,3.0,,,,,,,,
,,,,,,,,,,,
Optex,Zeiss,10.5mm,2.1,,,,,,,,
,Canon FD,14mm,2.0,"12""",,,,,,,
,Canon FD,100mm,2.0,5',,,,,,,
,Canon FD,135mm,2.0,"4' 6""",,,,,,,
,Leica macro,60mm,2.8,"10.5""",,,,,,,
,macro,100mm,,,,,,,,,
,,,,,,,,,,,
Panavision,Leitz macro,19mm,2.8,,,,,,PV,,
,,21mm,4.0,,,,,,PV / PL,,
,,24mm,2.8,,,,,,PV / PL,,
,,35mm,2.0,,,,,,PV,,
,,50mm,1.4,,,,,,PV / PL,,
,,60mm,2.8,,,,,,PV / PL,,
,,80mm,1.4,,,,,,PV / PL,,
,,90mm,2.0,,,,,,PV / PL,,
,,100mm,2.8,,,,,,PL,,
,,135mm,2.8,,,,,,PL,,
,,180mm,2.8,,,,,,PL,,
,,,,,,,,,,,
Van Diemen,Canon macro,100mm,f/2.0,,,,,,,,
,,135mm,f/2.0,,,,,,,,
,,200mm,f/2.8,,,,,,,,
,Canon tele,135mm,f/2.0,,,,,,,,
,,200mm,f/1.8,,,,,,,,
,,200mm,f/2.8,,,,,,,,
,,300mm,f/2.8,,,,,,,,
,,200mm,f/4.0,,,,,,,,
,,400mm,f/2.8,,,,,,,,
,,500mm,f/4.5,,,,,,,,
,,600mm,f/4.0,,,,,,,,
,Pentax tele,135mm,f/2.8,,,,,,,,
,,200mm,f/2.8,,,,,,,,
,,300mm,f/2.8,,,,,,,,
,,600mm,f/4.0,,,,,,,,
,Nikkor tele,300mm,2.8,,,,,,,,
,Leica,15mm,3.7,,,,,,,,
,,19mm,3.0,,,,,,,,
,,24mm,3.0,,,,,,,,
,,50mm,2.1,,,,,,,,
,,60mm,3.0,,,,,,,,
,Leica compact macro,24mm,3.0,,,,,,,,
,,28mm,3.0,,,,,,,,
,,35mm,1.5,,,,,,,,
,,50mm,1.5,,,,,,,,
,,75mm,1.5,,,,,,,,
,,80mm,1.5,,,,,,,,
,Leica macro,60mm,3.0,,,,,,,,
,,80mm,1.5,,,,,,,,
,,90mm,2.1,,,,,,,,
,,90mm,3.0,,,,,,,,
,,100mm,3.0,,,,,,,,
,,135mm,3.0,,,,,,,,
,,180mm,3.0,,,,,,,,
,,,,,,,,,,,
Vantage,Leica Macro,19mm,2.8,,,,,,,,
,,21mm,2.8,,,,,,,,
,,24mm,2.8,,,,,,,,
,,28mm,2.8,,,,,,,,
,,35mm,2.8,,,,,,,,
,,60mm,2.8,,,,,,,,
,,90mm,2.8,,,,,,,,
,,135mm,2.8,,,,,,,,
,,180mm,2.8,,,,,,,,
,,,,,,,,,,,
Oppenheimer,OppCam / Nikkor,8mm,,,,,,,,,
,OppCam / Zeiss,60mm,,,,,,,,,
,OppCam / Zeiss,100mm,,,,,,,,,
,,,,,,,,,,,
Clairmont,Canon,14mm,2.8,,,,,,,,
,,1000mm,4.5,60',,216mm,22680g,940mm,,,
,,,,,,,,,,,
Ultracam,Ultranon,14mm,,,,,,,,16,
,(Zeiss stills conversion),18mm,1.8,,,,,,,16,
,,24mm,1.4,,,,,,,16,
,,28mm,1.8,,,,,,,16,
,,35mm,1.4,,,,,,,16,
,,50mm,1.4,,,,,,,16,
,,85mm,1.4,,,,,,,16,
,,135mm,1.8,,,,,,,16,
,,,,,,,,,,,
Cineovision,Olympus stills conversion,20mm,2.1,,,,,,,,
,,24mm,2.1,,,,,,,,
,,35mm,2.1,,,,,,,,
,,50mm,2.1,,,,,,,,
,,85mm,2.1,,,,,,,,
,,,,,,,,,,,
,Contax / Zeiss conversion,28mm,2.0,"10""",,,,,BNCR,,
,,35mm,1.4,"15""",,,,,BNCR,,
,,50mm,1.4,"18""",,,,,BNCR,,
,,85mm,1.4,"30""",,,,,BNCR,,