name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,entrance pupil
5/i,18mm,1.4,"14""",37mm,110mm,,3030g,175mm,PL/i,7,
,25mm,1.4,"14""",37mm,110mm,,2980g,177mm,PL/i,7,
,32mm,1.4,"14""",39mm,110mm,,2780g,177mm,PL/i,7,
,40mm,1.4,"16""",43mm,110mm,,2760g,177mm,PL/i,7,
,50mm,1.4,"20""",43mm,110mm,,3230g,177mm,PL/i,7,
,65mm,1.4,"24""",43mm,110mm,,3080g,177mm,PL/i,7,
,75mm,1.4,"26""",43mm,110mm,,2990g,177mm,PL/i,7,
,100mm,1.4,"29.3""",43mm,110mm,,2890g,183mm,PL/i,7,
,135mm,1.4,"31.6""",43mm,136mm,,5100g,217mm,PL/i,7,
,,,,,,,,,,,
S4/i,12mm,2.0,"8.8""",28.5mm,156mm,,2950g,127mm,PL/i,8,
(or earlier S4 version),14mm,2.0,"8.8""",30mm,110mm,105mm,2177g,127mm,PL/i,8,136mm
,16mm,2.0,"8.8""",32mm,110mm,105mm,2450g,127mm,PL/i,8,
,18mm,2.0,"9.8""",32mm,110mm,105mm,1750g,114mm,PL/i,8,121mm
,21mm,2.0,"9.8""",32.5mm,110mm,105mm,1995g,114mm,PL/i,8,
,25mm,2.0,"9.8""",34mm,110mm,105mm,1588g,114mm,PL/i,8,113mm
,27mm,2.0,"9.8""",33mm,110mm,105mm,1595g,114mm,PL/i,8,
,32mm,2.0,"12.7""",34mm,110mm,105mm,1815g,127mm,PL/i,8,112mm
,35mm,2.0,"13.7""",35mm,110mm,105mm,1905g,127mm,PL/i,8,
,40mm,2.0,"17.8""",32.5mm,110mm,105mm,1995g,140mm,PL/i,8,103mm
,50mm,2.0,"21.7""",39mm,110mm,105mm,1497g,125mm,PL/i,8,134mm
,65mm,2.0,"27.6""",39mm,110mm,105mm,1610g,125mm,PL/i,8,
,75mm,2.0,"32""",43mm,110mm,105mm,1746g,125mm,PL/i,8,117mm
,100mm,2.0,"37.6""",43mm,110mm,105mm,1996g,140mm,PL/i,8,115mm
,135mm,2.0,"34.3""",43mm,110mm,105mm,2245g,185mm,PL/i,8,
,150mm,2.0,"41.2""",43mm,125mm,,3490g,157mm,PL/i,8,
,180mm,2.0,"51.3""",43mm,136mm,,4285g,185mm,PL/i,8,
,300mm,2.8,"83""",43mm,136mm,,4700g,202mm,PL/i,8,
,,,,,,,,,,,
miniS4/i,18mm,2.8,"10""",36mm,110mm,,2100g,120mm,PL/i,8,
(formerly Panchro/i),25mm,2.8,"10""",34mm,87mm,,1900g,106mm,PL/i,8,
& uncoated versions,32mm,2.8,"12""",37mm,87mm,,1700g,110mm,PL/i,8,
,40mm,2.8,"16""",36mm,87mm,,1700g,110mm,PL/i,8,
,50mm,2.8,"20""",38mm,87mm,,1500g,137mm,PL/i,8,
,65mm,2.8,"27""",38mm,87mm,,1600g,135mm,PL/i,8,
,75mm,2.8,"30""",43mm,87mm,,1600g,137mm,PL/i,8,
,100mm,2.8,"36""",43mm,87mm,,1600g,137mm,PL/i,8,
,135mm,2.8,"39""",43mm,87mm,,1800g,157.8mm,PL/i,8,
,,,,,,,,,,,
Panchro/i Classic,18mm,2.2,"9""",>30mm,110mm,105mm,,,PL,9,
(modern S2/3),25mm,2.2,"9""",>30mm,110mm,105mm,1500g,92mm,PL,9,
,32mm,2.3,"12""",>30mm,110mm,105mm,,,PL,9,
,40mm,2.3,"16""",>30mm,110mm,105mm,1400g,118mm,PL,9,
,50mm,2.3,"20""",>30mm,110mm,105mm,1500g,118mm,PL,9,
,75mm,2.3,"30""",>30mm,110mm,105mm,1800g,155mm,PL,9,
,100mm,2.8,"36""",>30mm,110mm,105mm,1800g,155mm,PL,9,
,152mm,3.2,"42""",>30mm,110mm,105mm,,,PL,9,
,,,,,,,,,,,
Speed Panchro (S3),18mm,2.2,,,,,,,Arri Standard,,45.88mm
,25mm,2.2,,,,,,,Arri Standard,,40.28mm
,,,,,,,,,,,
Speed Panchro (S2),18mm,2.0,"7""",,80mm,,567g,48mm,Arri Standard,,
,25mm,2.2,"15""",,80mm,,454g,54mm,Arri Standard,,
,32mm,2.3,"12""",,80mm,,454g,64mm,Arri Standard,,30.1mm
,40mm,2.3,"15""",,80mm,,454g,67mm,Arri Standard,,35.59mm
,50mm,2.3,"2' 7""",,80mm,,454g,67mm,Arri Standard,,44.76mm
,75mm,2.3,3',,80mm,,907g,76mm,Arri Standard,,76.9mm
,,,,,,,,,,,
Deep Field Panchro,100mm,2.8,"3' 6""",,80mm,,1134g,111mm,Arri Standard,,89.2mm
,,,,,,,,,,,
Speed Panchro (S1),24mm,2.3,,,,,,,Arri Standard,,
,28mm,2.3,1',,,,,,Arri Standard,,
,32mm,2.3,"1' 3""",,,,,,Arri Standard,,
,35mm,2.3,"1' 6""",,,,,,Arri Standard,,
,40mm,2.3,2',,,,,,Arri Standard,,
,50mm,2.3,2',,,,,,Arri Standard,,
,75mm,2.3,3',,,,,,Arri Standard,,
,108mm,2.8,,,,,,,Arri Standard,,
,,,,,,,,,,,
Telepanchro,152mm,3.2,8',,,,,,adaptable focusing mount,,
,203mm,4.5,15',,,,,,adaptable focusing mount,,
,318mm,4.5,20',,,,,,adaptable focusing mount,,
,406mm,4.5,28',,,,,,adaptable focusing mount,,
,558mm,6.2,50',,,,,,adaptable focusing mount,,
,,,,,,,,,,,
Century S2000 Panchro,18mm,2.2,"5.6""",,80mm,,567g,51mm,PL,,
,25mm,2.2,"5.5""",,80mm,,567g,51mm,PL,,
,32mm,2.3,"6.8""",,80mm,,454g,54mm,PL,,
,40mm,2.3,"7""",,80mm,,680g,67mm,PL,,
,50mm,2.3,"8""",,80mm,,907g,82mm,PL,,
,75mm,2.3,"16""",,80mm,,907g,82mm,PL,,
,100mm,2.8,"16.5""",,80mm,,1360g,108mm,PL,,
,152mm,3.2,12',,80mm,,,,PL,,
,,,,,,,,,,,
TLS Speed Panchro,18mm,2.2,"8""",,110mm,105mm,870g,60mm,PL,,
,25mm,2.2,"8""",,110mm,105mm,870g,69mm,PL,,
,32mm,2.3,"9""",,110mm,105mm,840g,69mm,PL,,
,40mm,2.3,"13""",,110mm,105mm,870g,69mm,PL,,
,50mm,2.3,"15""",,110mm,105mm,1025g,79mm,PL,,
,75mm,2.3,"2' 4""",,110mm,105mm,1240g,89mm,PL,,
,100mm,2.8,2',,110mm,105mm,1620g,146mm,PL,,
,152mm,3.2,"5' 6""",,110mm,105mm,,,PL,,
,203mm,4.5,"7' 8""",,110mm,105mm,,,PL,,