Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,entrance pupil
Angenieux,Optimo Ultra 12x FF,36 - 435mm,4.2,5',46.3mm,162mm,,12750g,523mm,PL,9,base lens with interchangeable rear element
,Optimo Ultra Compact Wide Angle,21 - 56mm,2.9,2',46.3mm,114mm,,2800g,247mm,PL,,base lens with interchangeable rear element
,Optimo Ultra Compact Standard,37 - 102mm,2.9,2',46.3mm,114mm,,2600g,235mm,PL,,base lens with interchangeable rear element
,EZ-1 FF,45 - 135mm,3.0,2',46.3mm,114mm,,2050g,226mm,"PL, EF, E, RF",9,
,EZ-2 FF,22 - 60mm,3.0,2',46.3mm,114mm,,2070g,210mm,"PL, EF, E, RF",9,
,EZ-3 FF,68 - 250mm,3.5 - 4.5,4',46.3mm,114mm,,2600g,265mm,"PL, EF, E, RF",9,
,,,,,,,,,,,,
Arri,Signature Zoom,16 - 32mm,2.8,"1' 6""",>46mm,156mm,,3800g,212mmm,LPL,11,
,,24 - 75mm,2.8,"2' 6""",>46mm,114mm,,4100g,244mm,LPL,11,
,,45 - 135mm,2.8,"3' 4""",>46mm,114mm,,3750g,300mm,LPL,11,
,,65 - 300mm,2.8,6',>46mm,156mm,,8100g,420mm,LPL,11,
,,,,,,,,,,,,
Canon,Flex,20 - 50mm,2.4,2',,114mm,,3300g,233mm,PL / EF,11,can be adapted to s35 with relay kit
,,45 - 135mm,2.4,"3' 4""",,114mm,,3400g,238mm,PL / EF,11,can be adapted to s35 with relay kit
,,,,,,,,,,,,
Chiopt,Extremer,28 - 85mm,3.2,"2' 3""",>46mm,114mm,,2700g,228mm,PL / EF / E,,
,,,,,,,,,,,,
Cooke,Varotal/i FF,19 - 40mm,2.9,2',46.3mm,114mm,M112.5 x 0.5,3500g,228mm,PL / LPL,,
,,30 - 95mm,2.9,"2' 8""",46.3mm,114mm,M112.5 x 0.5,4000g,255mm,PL / LPL,,
,,85 - 215mm,2.9,5',46.3mm,114mm,M112.5 x 0.5,4000g,255mm,PL / LPL,,
,,,,,,,,,,,,
Duclos,Leica,70 - 180mm,3.0,"5' 3""",,80mm,,1900g,216mm,PL,,
,,,,,,,,,,,,
DZOFilm,Catta Ace,18 - 35mm,2.9,"1' 8""",43.5mm,80mm,77mm,1850g,179.5mm,"PL, EF, LPL",16,
,,35 - 80mm,2.9,"2' 5""",46.5mm,80mm,77mm,1635g,179.5mm,"PL, EF, LPL",16,
,,70 - 135mm,2.9,"2' 6""",46.5mm,80mm,77mm,1710g,179.5mm,"PL, EF, LPL",16,
,,,,,,,,,,,,
Isco,,140 - 420mm,2.7,"10' 6""",43mm,228mm,,19050g,700mm,PL,,
,,,,,,,,,,,,
Focus Optics,Ruby (Nikkor),14 - 24mm,2.8,,,110mm,,1360g,138mm,PL,,
,,,,,,,,,,,,
Fujinon,Premista,19 - 45mm,2.9,2',46.3mm,114mm,,3300g,230mm,PL,13,
,,28 - 100mm,2.9,"2' 7""",46.3mm,114mm,,3800g,255mm,PL,13,
,,80 - 250mm,2.9 - 3.5,"4' 11""",46.3mm,114mm,,3800g,255mm,PL,13,
,,,,,,,,,,,,
Laowa,Ranger,16 - 30mm,2.9,"1' 1""",43.2mm,80mm,77mm,800g,107mm,PL / EF,11,
,,28 - 75mm,2.9,"1' 7""",43.2mm,80mm,77mm,1440g,180mm,PL / EF,11,
,,75 - 180mm,2.9,"2' 11""",43.2mm,80mm,77mm,1340g,190mm,PL / EF,11,
,Fisheye Zoom,8 - 15mm,2.9,"6""",43.2mm,80mm,,590g,62.5mm,PL,9,
,,,,,,,,,,,,
Leitz,Leitz Zoom,25 - 75mm,2.8,3',46.5mm,114mm,,3900g,267mm,PL / LPL,15,
,,55 - 125mm,2.8,"3' 5""",46.5mm,114mm,,4200g,308mm,PL / LPL,15,
,,,,,,,,,,,,
Masterbuilt,Zoom CFZ,13 - 26mm,3.0,,,,,,,PL / LPL / PV,,
,Zoom CFZ,27 - 60mm,2.9,"11""",,114mm,,1900g,,PL / LPL / PV,,
,Zoom 5X,25 - 125mm,3.2,"2' 3""",,162mm,,5200g,,PL / LPL / PV,,
,,,,,,,,,,,,
Musashi,Takumi,29 - 120mm,2.9,4',46.3mm,136mm,,7700g,370mm,PL,9,
,,40.6 - 332mm,4.8,4',46.3mm,136mm,,9200g,413mm,PL,9,
,,,,,,,,,,,,
Sigma,,24 - 35mm,2.2,"11""",43.3mm,95mm,82mm,1500g,149mm,EF / E,,
,,300 - 800mm,5.6,20',>43.3mm,,,,,,,
,,,,,,,,,,,,
Sirui,Jupiter Macro zoom,28 - 85mm,3.2,"2' 4""",,114mm,,2520g,215mm,PL / EF,11,
,,,,,,,,,,,,
Spirit Lab,,20 - 50mm,3.2,"1' 8""",42.2mm,134mm,,6200g,331.5mm,PL / LPL,,
,,70 - 300mm,3.2,4',50mm,156mm,,10600g,468.4mm,PL / LPL,,
,,,,,,,,,,,,
TLS,Morpheus (Nikon),80 - 200mm,2.8,"4' 11""",>43.3mm,110mm,2300g,,PL,9,,
,Aurora (Nikon),24-70mm,2.8,,,,,,,,,
,,14-24mm,2.8,,,,,,,,,
,,,,,,,,,,,,
Tokina,Cinema ATX,16 - 28mm (mkII),3.0,"12""",43.3mm,114mm,112mm,1750g,127mm,PL / EF / E / F / MFT,9,
,,16 - 28mm (mkI),3.0,"12""",43.3mm,114mm,112mm,1500g,127mm,PL / EF / E,9,
,,,,,,,,,,,,
Viltrox,Luna,30 - 300mm,4.0,4',46.5mm,165mm,,15000g,,PL,,
,,,,,,,,,,,,
Zeiss,SZR,15 - 30mm,2.9,"1' 11""",46.3mm,114mm,,2950g,198mm,PL / LPL,,
,(Supreme Zoom Radiance),28 - 80mm,2.9,"2' 9""",46.3mm,114mm,,2760g,198mm,PL / LPL,,
,,70 - 200mm,2.9,5',46.3mm,114mm,,3180g,232mm,PL / LPL,,
,,,,,,,,,,,,
,CZ.2,70 - 200mm,2.9,5',43.3mm,95mm,,2800g,250mm,PL / EF / F / MFT,18,
,CZ.2,28 - 80mm,2.9,"2' 8""",43.3mm,95mm,,2500g,196mm,PL / EF / F / MFT,,
,CZ.2,15 - 30mm,2.9,"1' 10""",43.3mm,114mm,,2500g,252mm,PL / EF / F / MFT,,