manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,entrance pupil,magnification ratio (H),notes
Angenieux,A2S,30 - 72mm,4.0,"2' 2""",28.8mm,114mm,,2400g,227mm,"PL, PV",,,,
,,56 - 152mm,4.0,"2' 1""",28.8mm,114mm,,2200g,210mm,"PL, PV",,,,
,,44 - 440mm,4.5,"4' 1""",28.8mm,136mm,,7550g,414mm,"PL, PV",,,,
,,42 - 420mm,4.5,"4' 1""",28.8mm,136mm,,7600g,414mm,"PL, PV",,,,
,,,,,,,,,,,,,,
Arri / Zeiss,Master Anamorphic,28mm,1.9,"2' 3""",29.26mm,114mm,,2500g,183mm,LDS-PL,15,188mm,1:32.2,
,,35mm,1.9,"2' 6""",29.26mm,95mm,,2600g,183mm,LDS-PL,15,178.7mm,1:32.3,
,,40mm,1.9,"2' 4""",29.26mm,95mm,,2700g,183mm,LDS-PL,15,176.9mm,1:25.6,
,,50mm,1.9,"2' 6""",29.26mm,95mm,,2600g,183mm,LDS-PL,15,171.5mm,1:22.2,
,,60mm,1.9,3',29.26mm,95mm,,2700g,183mm,LDS-PL,15,152.2mm,1:24.3,
,,75mm,1.9,3',29.26mm,95mm,,2600g,183mm,LDS-PL,15,136.7mm,1:19.6,
,,100mm,1.9,"3' 1""",29.26mm,95mm,,3100g,210mm,LDS-PL,15,145.9mm,1:14.7,
,,135mm,1.9,"3' 11""",29.26mm,95mm,,3800g,226mm,LDS-PL,15,129.3mm,1:15.6,
,,180mm,2.8,5',29.26mm,95mm,,3200g,226mm,LDS-PL,15,98mm,1:15.9,
,,,,,,,,,,,,,,
,AUWZ,19 - 36mm,4.2,2',29.26mm,114mm,,5500g,397.1mm,LDS-PL,,,1:10.2 (H) @ f=36mm,image inverted
,,,,,,,,,,,,,,
Arriscope,,32mm,2.3,,,,,,,,,,,very rare
,,40mm,2.3,"3' 3""",,,,3300g,,,,,,
,,50mm,2.3,"3' 3""",,,,3500g,,,,,,
,,75mm,2.3,"3' 9""",,,,6200g,,,,,,
,,100mm,3.5,4',,,,6300g,,,,,,
,,135mm,3.0,"4' 6""",,,,5000g,,,,,,
,,,,,,,,,,,,,,
Atlas,Orion,18mm,2.0,"1' 5""",>33.5mm,,,,,PL / EF,,,,
,,21mm,2.0,"1' 6""",>33.5mm,136mm,,3100g,187mm,PL / EF,,,,
,,25mm,2.0,"1' 6""",>33.5mm,136mm,,2800g,187mm,PL / EF,,,,
,,28mm,2.0,"1' 5""",>33.5mm,,,,,PL / EF,,,,
,,32mm,2.0,"1' 9""",>33.5mm,114mm,,2100g,170mm,PL / EF,,,,
,,40mm,2.0,2',>33.5mm,114mm,,2200g,189mm,PL / EF,,,,
,,50mm,2.0,"2' 6""",>33.5mm,114mm,,2300g,178mm,PL / EF,,,,
,,65mm,2.0,"2' 9""",>33.5mm,114mm,,2200g,184mm,PL / EF,,,,
,,80mm,2.0,3',>33.5mm,114mm,,2700g,215mm,PL / EF,,,,
,,100mm,2.0,"3' 3""",>33.5mm,114mm,,3000g,254mm,PL / EF,,,,
,,135mm,2.2,"3' 6""",>33.5mm,,,3990g,,PL / EF,,,,
,,200mm,3.2,"3' 6""",>33.5mm,,,4000g,,PL / EF,,,,
,,,,,,,,,,,,,,
Caldwell,Chameleon SC,32mm,2.0,,>33mm,114mm,,,142mm,PL,,,,
,(1.79X squeeze),40mm,2.0,,>33mm,114mm,,,142mm,PL,,,,
,,50mm,2.0,,>33mm,114mm,,,142mm,PL,,,,
,,60mm,2.0,,>33mm,114mm,,,142mm,PL,,,,
,,75mm,2.0,,>33mm,114mm,,,142mm,PL,,,,
,,100mm,2.6,,>33mm,114mm,,,142mm,PL,,,,
,,150mm,4.0,,>33mm,114mm,,,142mm,PL,,,,
,,,,,,,,,,,,,,
Cineovision,,25mm,1.4,,,120x150mm,,4820g,190mm,,,,,
,,32mm,1.4,,,,,,,,,,,
,,40mm,1.4,,,100mm,,1820g,150mm,,,,,
,,50mm,1.4,,,,,,,,,,,
,,100mm,2.6,,,,,,,,,,,
,,,,,,,,,,,,,,
,,35mm,1.3,,,100mm,,3860g,205mm,,,,,
,,50mm,1.3,,,100mm,,1960g,155mm,,,,,
,,85mm,1.3,,,100mm,,2980g,225mm,,,,,
,,100mm,2.0,,,100mm,,3180g,240mm,,,,,
,,,,,,,,,,,,,,
Clairmont,Kowa,32mm,2.3,"2' 6""",,130mm,,2250g,155mm,,,,,
,,40mm,2.3,3',,80mm,,1350g,105mm,,,,,
,,50mm,2.3,3',,80mm,,1350g,115mm,,,,,
,,75mm,2.8,3',,80mm,,1800g,135mm,,,,,
,,100mm,3.4,5',,80mm,,1950g,180mm,,,,,
,Canon,300 - 1200mm,11,,,,,,,,,,,
,,,,,,,,,,,,,,
Cooke,Anamorphic/i,25mm,2.3,"2' 9""",33.54mm,136mm,,2770g,195mm,PL/i,11,,,
,,32mm,2.3,"2' 9""",33.54mm,110mm,,2680g,195mm,PL/i,11,,,
,,40mm,2.3,"2' 9""",33.54mm,110mm,,2930g,195mm,PL/i,11,,,
,,50mm,2.3,"2' 9""",33.54mm,110mm,,2740g,195mm,PL/i,11,,,
,,65mm,2.6,"18""",33.54mm,136mm,,5200g,258mm,PL/i,11,,,
,,75mm,2.3,"3' 3""",33.54mm,110mm,,2640g,195mm,PL/i,11,,,
,,100mm,2.3,"3' 8""",33.54mm,110mm,,2930g,195mm,PL/i,11,,,
,,135mm,2.3,"4' 8""",33.54mm,110mm,,2930g,195mm,PL/i,11,,,
,,180mm,2.8,"5' 4""",33.54mm,110mm,,5500g,296mm,PL/i,,,,
,,300mm,3.5,"8' 5""",33.54mm,136mm,,8800g,378mm,PL/i,,,,
,,,,,,,,,,,,,,
,Anamorphic zoom,35 - 140mm,3.1,"3' 11""",33.54mm,136mm,,10300g,430mm,PL/i,,,,
,,45 - 450mm,4.5,6',33.54mm,136mm,,11700g,568mm,PL/i,,,,
,,,,,,,,,,,,,,
DZO Film,Pavo,28mm,2.1,"1' 4""",31.5mm,95mm,,1200g,106mm,PL / EF,14,,,blue / gold coatings available
,,32mm,2.1,"1' 4""",31.5mm,95mm,,1280g,106mm,PL / EF,16,,,blue / gold coatings available
,,40mm,2.1,"1' 6""",31.5mm,95mm,,1300g,107mm,PL / EF,16,,,blue / gold coatings available
,,55mm,2.1,2',31.5mm,95mm,,1260g,108mm,PL / EF,16,,,blue / gold coatings available
,,65mm,2.8,"1' 2""",31.5mm,95mm,,1960g,108mm,PL / EF,16,,,blue / gold coatings available
,,75mm,2.1,"2' 9""",31.5mm,95mm,,1460g,160mm,PL / EF,16,,,blue / gold coatings available
,,100mm,2.4,"3' 1""",31.5mm,95mm,,1650g,127mm,PL / EF,16,,,blue / gold coatings available
,,135mm,2.5,"3' 3""",31.5mm,95mm,,1990g,143mm,PL / EF,16,,,blue / gold coatings available
,,180mm,2.8,"3' 5""",31.5mm,95mm,,1950g,160mm,PL / EF,16,,,blue / gold coatings available
,,,,,,,,,,,,,,
Kowa,Prominar,40mm,2.3,3',,74mm,,1000g,86mm,,,,,
,,50mm,2.3,3',,74mm,,1000g,100mm,,,,,
,,75mm,2.8,3',,74mm,,1200g,129mm,,,,,
,,100mm,3.4,5',,74mm,,1000g,160mm,,,,,
,,,,,,,,,,,,,,
Laowa,Nanomorph,27mm,2.8,"1' 4""",30.18mm,80mm,77mm,490g,67mm,"EF, PL",13,,,
,(1.5x squeeze),35mm,2.4,"1' 11""",30.18mm,80mm,77mm,520g,75mm,"EF, PL",13,,,
,,50mm,2.4,"2' 3""",30.18mm,80mm,77mm,550g,75mm,"EF, PL",13,,,
,,60mm,2.9,"9.44""",,,,,,,,,,
,,65mm,2.4,"2' 3""",33.9mm,80mm,77mm,820g,95mm,"EF, PL",13,,,
,,80mm,2.4,"2' 3""",33.9mm,80mm,77mm,830g,110mm,"EF, PL",13,,,
,,,,,,,,,,,,,,
,Proteus,28mm,2.0,"1' 7""",33.74mm,114mm,105mm,2400g,182mm,"EF, PL",10,,,
,and,35mm,2.0,"1' 10""",33.74mm,114mm,105mm,2400g,182mm,"EF, PL",10,,,amber / blue / silver coatings available
,Proteus Flex,45mm,2.0,"1' 10""",33.74mm,114mm,105mm,2400g,182mm,"EF, PL",10,,,amber / blue / silver coatings available
,,60mm,2.0,"2' 4""",33.74mm,114mm,105mm,2300g,198mm,"EF, PL",10,,,amber / blue / silver coatings available
,,85mm,2.0,"2' 9""",33.74mm,114mm,105mm,2950g,240mm,"EF, PL",10,,,amber / blue / silver coatings available
,,100mm,2.0,3' 3',33.74mm,114mm,105mm,2800g,240mm,"EF, PL",10,,,
,,,,,,,,,,,,,,
,Proteus zoom,26 - 45mm,2.9,"1' 7""",31.9mm,80mm,77mm,1533g,190mm,PL,11,,,
,,45 - 85mm,2.9,"2' 11""",31.9mm,80mm,77mm,1495g,194mm,PL,11,,,
,,,,,,,,,,,,,,
Lomo,Square Front,22mm,3.4,"3' 3""",,,,1800g,82.5mm,,,,,
,,35mm,2.8,,,,,1380g,,,,,,
,,30mm,3.2,,,,,,,,,,,
,,50mm,2.4,,,,,1400g,,,,,,
,,80mm,2.5,,,,,,,,,,,
,,37 - 140mm,4.5,"5' 3""",,98mm,,2840g,245mm,,,,,
,,,,,,,,,,,,,,
,Round Front,35mm,2.4,"3' 3""",,141mm,,3400g,,,,,,
,,50mm,2.4,"3' 3""",,104mm,100mm,,,,,,,
,,75mm,2.4,"3' 3""",,104mm,100mm,1885g,,,,,,
,,100mm,3.2,,,104mm,100mm,,,,,,,
,,150mm,3.4,,,,,,,,,,,
,,300mm,4.8,13',,,,,,,,,,
,,500mm,6.2,"14' 9""",,,,,,,,,,
,,40 - 120mm,3.1,"3' 3""",,153mm,,7500g,334mm,,,,,
,,40 - 240mm,5.0,"3' 3""",,,,,,,,,,
,,,,,,,,,,,,,,
,High Speed,35mm,1.5,"3' 3""",,156mm,,,,,,,,
,,50mm,1.3,"3' 3""",,104mm,100mm,2150g,,,,,,
,,75mm,1.5,"3' 3""",,104mm,100mm,2750g,,,,,,
,,,,,,,,,,,,,,
Optica-Elite,S-7,24.5mm,2.2,"3' 3""",33.54mm,142mm,,2800g,160mm,PL,,,,
,,40mm,2.2,"2' 4""",33.54mm,110mm,,2900g,195mm,PL,,,,
,,50mm,1.9,"3' 3""",33.54mm,110mm,,2900g,210mm,PL,,,,
,,75mm,1.9,"3' 3""",33.54mm,110mm,,3100g,210mm,PL,,,,
,,100mm,2.3,"3' 3""",33.54mm,110mm,,3200g,210mm,PL,,,,
,,135mm,2.8,"3' 3""",33.54mm,110mm,,3600g,260mm,PL,,,,
,,,,,,,,,,,,,,
,MKV,24.5mm,2.1,"3' 4""",,142mm,,2500g,159mm,PL,,,,
,,32mm,2.1,"3' 4""",,178mm,,6500g,267mm,PL,,,,
,,40mm,2.1,"3' 4""",,156mm,,5200g,240mm,PL,,,,
,,50mm,2.1,"3' 4""",,156mm,,5400g,256mm,PL,,,,
,,75mm,2.1,"3' 4""",,156mm,,4900g,314mm,PL,,,,
,,100mm,2.1,"3' 4""",,124mm,,6200g,365mm,PL,,,,
,,135mm,2.5,5',,124mm,,5600g,430mm,PL,,,,
,,180mm,2.8,5',,124mm,,5100g,407mm,PL,,,,
,,250mm,3.0,6',,124mm,,5500g,472mm,PL,,,,
,lightweight,50 - 160mm,4.9,"3' 4""",,110mm,,1300g,181mm,PL,,,,
,,50 - 500mm,4.5,,,,,,,PL,,,,
,,240 - 1040mm,4.8,"13' 2""",,182mm,,18000g,735mm,PL,,,,
,,,,,,,,,,,,,,
P+S Technik,Evolution 2X,32mm,2.4,"2' 1""",31.1mm,110mm,,1800g,179mm,PL / LPL,,,,
,,40mm,2.4,3',31.1mm,80mm,,1100g,146mm,PL / LPL,,,,1.5X squeeze
,,50mm,2.4,3',31.1mm,80mm,,1200g,155mm,PL / LPL,,,,1.5X squeeze
,,75mm,2.5,3',31.1mm,80mm,,1500g,203mm,PL / LPL,,,,1.5X squeeze
,,100mm,3.2,5',31.1mm,80mm,,1600g,215mm,PL / LPL,,,,1.5X squeeze
,,135mm,3.5,5',31.1mm,80mm,,1900g,294mm,PL / LPL,,,,1.5X squeeze
,,,,,,,,,,,,,,
Powerscope,,22mm,3.4,,,,,,,,,,,
,,30mm,3.2,,,,,,,,,,,
,,35mm,2.4,,,,,,,,,,,
,,50mm,2.4,,,,,,,,,,,
,,75mm,2.4,,,,,,,,,,,
,,100mm,3.2,,,,,,,,,,,
,,150mm,3.4,,,,,,,,,,,
,,40 - 200mm,5.1,,,,,,,,,,,
,,,,,,,,,,,,,,
ServiceVision,Scorpiolens,20mm,2.8,"15""",31.14mm,95mm,,,190mm,PL,,,,
,,25mm,2.0,"18""",31.14mm,95mm,,,190mm,PL,,,,
,,30mm,2.0,"18""",31.14mm,95mm,,,190mm,PL,,,,
,,35mm,2.0,"18""",31.14mm,95mm,,,160mm,PL,,,,
,,40mm,2.0,"21""",31.14mm,95mm,,,160mm,PL,,,,
,,50mm,2.0,"21""",31.14mm,95mm,,,160mm,PL,,,,
,,60mm,2.0,"2' 3""",31.14mm,95mm,,,160mm,PL,,,,
,,75mm,2.0,"2' 6""",31.14mm,95mm,,,160mm,PL,,,,
,,100mm,2.0,"3' 3""",31.14mm,95mm,,,160mm,PL,,,,
,,135mm,2.8,"4' 3""",31.14mm,95mm,,,160mm,PL,,,,
,,150mm,2.8,5',31.14mm,95mm,,,190mm,PL,,,,
,,200mm,2.8,6',31.14mm,95mm,,,190mm,PL,,,,
,,250mm,2.8,"6' 6""",31.14mm,95mm,,,220mm,PL,,,,
,,300mm,2.8,"8' 3""",31.14mm,95mm,,,220mm,PL,,,,
,,,,,,,,,,,,,,
,Scorpio Zoom,138 - 405mm,4.3,5',31.14mm,95mm,,3300g,288mm,PL,,,,
,,,,,,,,,,,,,,
SLR Magic,Anamorphot Cine (1.33x),35mm,2.4,,32mm,,82mm,1100g,135mm,PL,12,,,rotating front
,,50mm,2.8,,44mm,,82mm,1100g,135mm,PL,12,,,rotating front
,,70mm,4.0,,44mm,,82mm,1100g,135mm,PL,12,,,rotating front
,,,,,,,,,,,,,,
Technovision,Cooke,32mm,2.3,"3' 5""",,,,1800g,,,,,,
,,40mm,3.0,3',,,,2600g,,,,,,
,,50mm,2.5,"3' 6""",,,,3200g,,,,,,
,,75mm,2.5,"3' 6""",,,,3500g,,,,,,
,,100mm,2.8,"2' 10""",,,,4200g,,,,,,
,,,,,,,,,,,,,,
,Zeiss Superspeed,20mm,1.4,"3' 6""",,,,,,,,,,
,,35mm,1.4,3',,,,3800g,,,,,,
,,40mm,1.4,3',,,,1600g,,,,,,
,,50mm,1.4,3',,,,1800g,,,,,,
,,85mm,1.4,3',,,,2400g,,,,,,
,,,,,,,,,,,,,,
,Zeiss Standard Speed,25mm,2.0,"3' 6""",,,,5200g,,,,,,
,,32mm,2.1,4',,,,2200g,,,,,,
,,40mm,2.1,"3' 6""",,,,1600g,,,,,,
,,50mm,2.1,3',,,,2000g,,,,,,
,,85mm,2.1,4',,,,2400g,,,,,,
,,100mm,2.0,"3' 6""",,,,3200g,,,,,,
,,200mm,2.8,3',,,,1000g,,,,,,
,,,,,,,,,,,,,,
Todd-AO,,28mm,3.9,5',,124mm,,1400g,73mm,,,,,
,,35mm,1.4,3',,130mm,,2800g,185mm,,,,,
,,38mm,2.3,3',,124mm,,2200g,127mm,,,,,
,,50mm,2.3,3',,,,2000g,,,,,,
,,55mm,1.4,"1' 10""",,95mm,,2000g,165mm,,,,,
,,75mm,2.5,3',,98.5mm,,2200g,162mm,,,,,
,,100mm,3.4,3',,98mm,,2700g,210mm,,,,,
,,200mm,4.0,"1' 6""",,80mm,,1800g,168mm,,,,,
,,,,,,,,,,,,,,
,Canon,24mm,1.6,,,,,,,,,,,
,,35mm,1.4,"2' 6""",,130mm,,3600g,187mm,,,,,
,,55mm,1.4,"2' 3""",,,,2000g,,,,,,
,,85mm,1.4,,,,,,,,,,,
,,,,,,,,,,,,,,
Zeiss,Ultrascope,40mm,2.0,,,,,,,,,,,
,,50mm,2.0,,,,,,,,,,,
,,85mm,2.0,,,,,,,,,,,
,,135mm,4.0,,,,,,,,,,,
,,76 - 300mm,8.0?,,,,,,,,,,,