manufacturer / name,focal length,max aperture (T),close focus,max magnification,image circle,front diameter,weight,length,original mount,iris blades,notes
PERSPECTIVE CORRECTION LENSES,,,,,,,,,,,
Arri Shift & Tilt Bellows System,18mm,3.8,"5""",1:1.8,38.6mm,95mm,330g,,Bay type,,
,20mm,2.8,"5""",1:1.5,43.2mm,87mm,350g,,Bay type,,
,24mm,4.0,"7""",1:1.6,58.2mm,87mm,480g,,Bay type,,
,28mm,2.8,"6.5""",1.1:1,58.2mm,87mm,400g,,Bay type,,
,35mm,2.8,"6.5""",1:1.1,58.2mm,87mm,300g,,Bay type,,
,45mm,2.8,"8""",1:1.25,58.2mm,87mm,500g,,Bay type,,
,60mm,3.5,"12""",1:1.8,58.2mm,87mm,590g,,Bay type,,
,80mm,1.9,"14.75""",1:2.4,58.2mm,87mm,510g,,Bay type,,
,90mm,2.8,"16.5""",1:2.5,58.2mm,87mm,440g,,Bay type,,
,110mm,2.0,"23""",1:3.2,58.2mm,87mm,780g,,Bay type,,
,150mm,2.8,"40""",1:4.5,58.2mm,87mm,680g,,Bay type,,
,bellows unit,,,,,,1100g,,PL,,
,,,,,,,,,,,
Century Swing Tilt Bellows System,14mm,2.8,,,,85mm,680g,95mm,bolt-on type,,Cinemagic lens
,18mm,2.8,,,,85mm,,,bolt-on type,,Series 9 filtration only
,20mm,2.8,,,,85mm,,,bolt-on type,,
,24mm,3.5,,,,85mm,,,bolt-on type,,
,28mm,2.8,,,,85mm,,,bolt-on type,,
,35mm,2.8,,,,85mm,,,bolt-on type,,
,45mm,2.8,,,,85mm,,,bolt-on type,,
,55mm,2.8,,,,85mm,,,bolt-on type,,
,75mm,2.8,,,,85mm,,,bolt-on type,,
,90mm,2.8,,,,85mm,,,bolt-on type,,
,105mm,2.4,,,,85mm,,,bolt-on type,,
,135mm,4.5,,,,85mm,,,bolt-on type,,
,150mm,3.5,,,,,,,bolt-on type,,
,bellows unit,,,,,,,,PL,,
,,,,,,,,,,,
Clairmont Swing / Shift (bellows) System,18mm,3.8,,,,,680g,83mm,bolt-on type,,
,24mm,3.8,,,,,,,bolt-on type,,
,28mm,3.8,,,,,,,bolt-on type,,
,35mm,3.2,,,,,,,bolt-on type,,
,50mm,4.0,,,,,,,bolt-on type,,
,60mm,3.5,,,,,,,bolt-on type,,
,80mm,3.5,,,,,,,bolt-on type,,
,110mm,2.4,,,,,,,bolt-on type,,
,120mm macro,4.0,,,,,,,bolt-on type,,
,135mm macro,5.6,,,,,,,bolt-on type,,
,150mm,2.8,,,,,,,bolt-on type,,
,bellows unit,,,,,,,,PL,,
,,,,,,,,,,,
Kardan Swing Tilt Bellows,bellows unit,,,,,,,,PL,,accepts Century system lenses
,,,,,,,,,,,
Panavision PVB swing / shift system,14mm,2.8,,,,85mm,800g,35mm,,,
,18mm,2.8,,,,93mm,500g,14mm,,,
,24mm,3.5,,,,85mm,700g,25mm,,,
,28mm,2.8,,,,85mm,500g,21mm,,,
,35mm,2.8,,,,85mm,400g,25mm,,,
,45mm,2.8,,,,85mm,500g,33mm,,,
,55mm,2.8,,,,85mm,700g,27mm,,,
,75mm,2.8,,,,85mm,600g,27mm,,,
,90mm,2.8,,,,85mm,500g,25mm,,,
,105mm,2.4,,,,85mm,800g,42mm,,,
,135mm,4.5,,,,85mm,,,,,
,150mm,3.5,,,,85mm,500g,41mm,,,
,bellows unit,,,,,,,,,,
,,,,,,,,,,,
TILT FOCUS LENSES,,,,,,,,,,,
Arri Tilt Focus Lenses,24mm,4.0,"13""",,58.2mm,87mm,990g,100mm,PL,,
,45mm,2.8,"15""",,58.2mm,87mm,1120g,115mm,PL,,
,90mm,2.8,"20""",,58.2mm,87mm,1230g,135mm,PL,,
,,,,,,,,,,,
Century tilt focus,17mm,4.0,,,,,,,PL,,
,24mm,4.0,"12""",,,80mm,990g,120mm,PL,,
,45mm,2.8,"16""",,,80mm,1050g,115mm,PL,,
,90mm,2.8,"20""",,,80mm,1050g,135mm,PL,,
,,,,,,,,,,,
Panavision slant focus,24mm,3.5,"12""",,,108mm,1200g,98mm,PV,,
,45mm,2.8,"41""",,,108mm,1200g,99mm,PV,,
,,,,,,,,,,,
Laowa,15mm,4.8,"8""",,65.2mm,114mm,1150g,94mm,PL / EF / E / Z / RF / L,14,
,20mm,4.1,"10""",,65.2mm,114mm,1140g,110mm,PL / EF / E / Z / RF / L,14,
,,,,,,,,,,,
Lensbaby Composer Pro / Muse PL,12mm fisheye,f/4,"0.5""",,,,,,,,
,35mm,f/2.5,"7.5""",,,,,,,,
,50mm,f/2,"9""",,,,,,,,various 50mm effects lenses available
,,,,,,,,,,,
Lensbaby 3G PL,50mm,f/2,"12""",,,,,,,,