name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil
Primo,10mm,1.9,2',,126mm,3042g,141mm,PV,,150.9mm
,14.5mm,1.9,2',,110mm,1703g,104mm,PV,,122.2mm
,17.5mm,1.9,2',,110mm,1498g,98mm,PV,,111.1mm
,21mm,1.9,2',,110mm,1771g,123mm,PV,,130mm
,27mm,1.9,2',,110mm,2406g,150mm,PV,,148.6mm
,35mm,1.9,2',,110mm,2361g,147mm,PV,,144.3mm
,40mm,1.9,2',,110mm,2066g,141mm,PV,,136.2mm
,50mm,1.9,2',,110mm,2701g,175mm,PV,,159.8mm
,65mm,1.8,2',,110mm,,,PV,,
,75mm,1.9,3',,110mm,1634g,126mm,PV,,63.3mm
,85mm,1.8,2',,,,,PV,,
,100mm,1.9,3',,119mm,1771g,129mm,PV,,72.8mm
,125mm,1.8,"26""",,,,,PV,,
,150mm,1.9,"5' 9""",,129mm,3405g,,PV,,61.7mm
,,,,,,,,,,
Primo V (digital only),14.5mm,1.9,2',31.4mm,112.8mm,1800g,112mm,PV,,
,17.5mm,1.9,2',31.4mm,112.8mm,1500g,105mm,PV,,
,21mm,1.9,2',31.4mm,112.8mm,2000g,133mm,PV,,
,27mm,1.9,2',31.4mm,112.8mm,2500g,157mm,PV,,
,35mm,1.9,2',31.4mm,112.8mm,2400g,155mm,PV,,
,40mm,1.9,2',31.4mm,112.8mm,2400g,154mm,PV,,
,50mm,1.9,2',31.4mm,112.8mm,2900g,186mm,PV,,
,75mm,1.9,2',31.4mm,112.8mm,1700g,133mm,PV,,
,100mm,1.9,2',31.4mm,112.8mm,1800g,132mm,PV,,
,,,,,,,,,,
Primo Classic,21mm,1.9,"9.6""",,,,,PV,,
,24mm (SE),1.9,"10""",,119mm,1771g,104mm,PV,,
,27mm,1.9,"9.6""",,,,,PV,,
,30mm (SE),1.9,"10""",,,,,PV,,
,35mm,1.9,"11""",,,,,PV,,
,50mm,1.9,"11""",,114mm,3087g,181mm,PV,,
,65mm (SE),1.9,"13.6""",,,,,PV,,
,85mm (SE),1.9,"16.6""",,,,,PV,,
,100mm,1.9,"16""",,114mm,2883g,217mm,PV,,
,125mm (SE),1.9,"25.6""",,,,,PV,,
,,,,,,,,,,
Primo Close Focus,14.5mm,1.9,"8.3""",,110mm,1793g,104mm,PV,,
,17.5mm,1.9,"7.6""",,107mm,1589g,101mm,PV,,
,21mm,1.9,"9.6""",,107mm,1589g,129mm,PV,,
,24mm,1.9,"11""",,,,,PV,,
,27mm,1.9,"9.6""",,107mm,2406g,147mm,PV,,
,30mm,1.9,"10""",,,,,PV,,
,35mm,1.9,"11""",,107mm,2406g,147mm,PV,,
,,,,,,,,,,
Panavision Macro,50mm,1.4,"9""",,107mm,1680g,135mm,PV,,
,90mm,2.0,"13.6""",,123mm,3450g,270mm,PV,,
,100mm,2.0,"18""",,110mm,2633g,181mm,PV,,
,200mm,4.0,"27""",,107mm,1884g,156mm,PV,,
,,,,,,,,,,
PVintage,14mm,1.9,"24""",,112.7mm,,,PV,,
(updated Ultra Speed II),17mm,1.9,"24""",,112.7mm,,,PV,,
,24mm,1.2,"24""",,112.7mm,,,PV,,
,29mm,1.2,"28""",,112.7mm,,,PV,,
,35mm,1.6,"24""",,112.7mm,,,PV,,
,40mm,1.3,"24""",,112.7mm,,,PV,,
,50mm,1.0,"24""",,112.7mm,,,PV,,
,75mm,1.6,"24""",,112.7mm,,,PV,,
,100mm,1.6,"48""",,112.7mm,,,PV,,
,,,,,,,,,,
Ultra Speed Zeiss,14mm,1.9,2',,,,,PV,,
,24mm,1.3,2',,,,,PV,,
,29mm,1.3,2',,107mm,2770g,132mm,PV,,
,35mm,1.4,2',,92mm,999g,77mm,PV,,
,50mm,1.4,2',,92mm,863g,77mm,PV,,
,65mm,1.3,2',,,,,PV,,
,85mm,1.4,2',,89mm,1135g,95mm,PV,,
,100mm,2.0,3',,107mm,1544g,119mm,PV,,
,135mm,2.0,5',,,,,PV,,
,180mm,2.8,5',,,,,PV,,
,,,,,,,,,,
Super Speed Zeiss,14mm,1.9,2',,107mm,1771g,101mm,PV,,
,24mm,1.9,2',,107mm,1725g,101mm,PV,,
,29mm,1.9,2',,119mm,2315g,135mm,PV,,
,35mm,1.9,2',,92mm,1044g,80mm,PV,,
,50mm,1.9,2',,95mm,772g,77mm,PV,,
,85mm,1.9,"2' 6""",,95mm,1090g,89mm,PV,,
,100mm,2.0,3',,107mm,1362g,116mm,PV,,
,135mm,2.0,5',,119mm,1861g,168mm,PV,,
,180mm,2.0,5',,107mm,2361g,172mm,PV,,
,,,,,,,,,,
Ultra Speed MKII,14mm,1.9,2',,118mm,1771g,104mm,PV,,
,17mm,1.9,2',,135mm,3178g,165mm,PV,,
,20mm,1.9,"2' 6""",,138mm,3087g,159mm,PV,,
,24mm,1.3,2',,118mm,1793g,104mm,PV,,
,29mm,1.3,"2' 3""",,118mm,2679g,135mm,PV,,
,35mm,1.3,2',,,,,PV,,
,40mm,1.3,2',,104mm,2452g,164mm,PV,,
,50mm,1.0,2',,,,,PV,,
,75mm,1.6,2',,123mm,1998g,142mm,PV,,
,100mm,1.6,4',,123mm,2447g,167mm,PV,,
,125mm,1.6,"3' 6""",,123mm,2856g,178mm,PV,,
,150mm,1.5,5',,138mm,4404g,190mm,PV,,
,200mm,2.0,"72""",,,,,PV,,
,300mm,2.8,"180""",,,,,PV,,
,,,,,,,,,,
Super Speed MKII,24mm,2.0,2',,,,,PV,,
,28mm,2.0,2',,96mm,931g,67mm,PV,,
,35mm,1.6,2',,92mm,953g,77mm,PV,,
,50mm,1.4,"2' 3""",,92mm,976g,86mm,PV,,
,55mm,1.1,2' 6',,,,,PV,,
,,,,,,,,,,
Normal Speed MKII,6mm fisheye,2.8,,,,,,,,
,8mm,2.8,"12""",,110mm,1180g,116mm,PV,,
,8mm distortion,2.8,"14""",,123mm,1476g,101mm,PV,,
,9.8mm,2.8,"24""",,,,,PV,,
,16mm,2.8,"20""",,92mm,749g,58mm,PV,,
,20mm,3.0,"30""",,92mm,863g,58mm,PV,,
,24mm,2.8,"27""",,92mm,749g,67mm,PV,,
,28mm,2.8,"24""",,92mm,772g,67mm,PV,,
,32mm,2.8,"24""",,92mm,726g,52mm,PV,,
,35mm,2.0,"20""",,96mm,863g,74mm,PV,,
,40mm,2.0,"24""",,67mm,681g,92mm,PV,,
,50mm,2.0,"27""",,92mm,908g,86mm,PV,,
,75mm,2.0,"27""",,92mm,1362g,104mm,PV,,
,100mm,2.4,"40""",,92mm,1362g,104mm,PV,,
,150mm,2.8,"60""",,92mm,1022g,104mm,PV,,
,400mm,4.0,"180""",,110mm,3541g,386mm,PV,,
,500mm,4.0,"276""",,135mm,5266g,557mm,PV,,
,,,,,,,,,,
Close Focus / Macro,17mm,1.9,"10""",,,,,PV,,
,20mm,4.0,"8""",,89mm,726g,67mm,PV,,
,24mm,2.8,"8""",,89mm,840g,67mm,PV,,
,28mm,2.8,"8""",,89mm,772g,67mm,PV,,
,35mm,2.8,"8""",,,,,PV,,
,40mm,2.8,,,,,,PV,,
,60mm,2.8,,,,,,PV,,
,90mm,2.8,,,,,,PV,,
,100mm,2.8,,,,,,PV,,