name,focal length,max aperture (T),close focus,image circle,front diameter,weight,length,original mount,iris blades,entrance pupil (h),entrance pupil (v),notes
Primo 70,14mm,2.0,"8""",52.1mm,112.8mm,,,SP70,,,,
,24mm,2.0,"12""",52.1mm,112.8mm,,,SP70,,,,
,27mm,2.0,"14""",52.1mm,112.8mm,,,SP70,,,,
,35mm,2.0,"14""",52.1mm,112.8mm,,,SP70,,,,
,40mm,2.0,"14""",52.1mm,112.8mm,,,SP70,,,,
,50mm,2.0,"16""",52.1mm,112.8mm,,,SP70,,,,
,65mm,2.0,"20""",52.1mm,112.8mm,,,SP70,,,,
,80mm,2.0,"24""",52.1mm,112.8mm,,,SP70,,,,
,100mm,2.0,"30""",52.1mm,112.8mm,,,SP70,,,,
,125mm,2.0,"36""",52.1mm,112.8mm,,,SP70,,,,
,150mm,2.0,"48""",52.1mm,112.8mm,,,SP70,,,,
,200mm,2.0,"48""",52.1mm,112.8mm,,,SP70,,,,
,250mm,2.0,"48""",52.1mm,112.8mm,,,SP70,,,,
,,,,,,,,,,,,
Primo 70 zoom,28 - 80mm,3.0,"33""",52.1mm,126.5mm,,,SP70,,,,
,70 - 185mm,3.5,"60""",52.1mm,112.8mm,,,SP70,,,,
,200 - 400mm,4.5,"78""",52.1mm,126.5mm,,,SP70,,,,
,,,,,,,,,,,,
Primo Artiste,27mm,1.8,"14""",,112.8mm,,,SP70,,,,
,35mm,1.8,"14""",,112.8mm,,,SP70,,,,
,40mm,1.8,"14""",,112.8mm,,,SP70,,,,
,50mm,1.8,"16""",,112.8mm,,,SP70,,,,
,65mm,1.8,"20""",,112.8mm,,,SP70,,,,
,80mm,1.8,"24""",,112.8mm,,,SP70,,,,
,100mm,1.8,"30""",,112.8mm,,,SP70,,,,
,125mm,1.8,"36""",,112.8mm,,,SP70,,,,
,150mm,1.8,"48""",,112.8mm,,,SP70,,,,
,200mm,2.6,"48""",,112.8mm,,,SP70,,,,
,250mm,2.6,"48""",,112.8mm,,,SP70,,,,
,,,,,,,,,,,,
Primo X,14mm,3.1,"7.87""",,112.8mm,1300g,,,,,,
,24mm,1.6,"9.8""",,112.8mm,1300g,,,,,,
,24 - 70mm,2.8,"15""",,160mm,2000g,,,,,,
,,,,,,,,,,,,
Panaspeed,17mm,1.4,"17""",,112.8mm,,,SP70,,,,
,24mm,1.4,"14""",,112.8mm,,,SP70,,,,
,29mm,1.4,"15""",,112.8mm,,,SP70,,,,
,35mm,1.4,"16""",,112.8mm,,,SP70,,,,
,40mm,1.4,"16""",,112.8mm,,,SP70,,,,
,50mm,1.4,"19""",,112.8mm,,,SP70,,,,
,65mm,1.4,"24""",,112.8mm,,,SP70,,,,
,80mm,1.4,"37""",,112.8mm,,,SP70,,,,
,100mm,1.4,"42""",,112.8mm,,,SP70,,,,
,135mm,1.4,"48""",,112.8mm,,,SP70,,,,
,,,,,,,,,,,,
H Series,12mm,2.8,,,95mm,,,,,,,
,18mm,2.5,"24""",,95mm,,,,,,,
,20mm,2.8,"37""",,95mm,700g,69mm,,,,,
,24mm,2.8,"24""",,95mm,700g,75mm,,,,,
,28mm,2.8,"24""",,95mm,700g,73mm,,,,,
,29mm,,"24""",,95mm,,,,,,,
,32mm,2.8,"24""",,95mm,800g,69mm,,,,,
,35mm,2.0,"24""",,95mm,1000g,81mm,,,,,
,40mm,2.0,"24""",,95mm,600g,72mm,,,,,
,50mm,2.0,"24""",,95mm,800g,81mm,,,,,
,55mm,1.1,"30""",,95mm,800g,79mm,,,,,
,65mm,,"24""",,95mm,,,,,,,
,75mm,2.0,"33""",,95mm,1000g,87mm,,,,,
,75mm,2.3,"24""",,95mm,,,,,,,
,85mm,1.4,"30""",,95mm,1100g,100mm,,,,,
,100mm,2.0,,,95mm,,,,,,,
,100mm,2.3,,,95mm,,,,,,,
,135mm,2.0,"42""",,95mm,1300g,110mm,,,,,
,150mm,2.8,"60""",,95mm,1000g,114mm,,,,,
,180mm,2.8,,,95mm,,,,,,,
,300mm,,,,95mm,,,,,,,
,,,,,,,,,,,,
VA,14mm,2.8,"8""",,112.8mm,1100g,83mm,,,,,
,21mm,1.4,"12""",,112.8mm,1300g,102mm,,,,,
,24mm,1.4,"12""",,112.8mm,1200g,102mm,,,,,
,28mm,1.4,"12""",,112.8mm,1200g,102mm,,,,,
,35mm,1.4,"12""",,112.8mm,1200g,102mm,,,,,
,40mm,1.4,"16""",,112.8mm,1200g,102mm,,,,,
,50mm,1.4,"18""",,112.8mm,1100g,89mm,,,,,
,65mm,1.8,2',,112.8mm,1300g,89mm,,,,,
,80mm,1.4,3',,112.8mm,1300g,89mm,,,,,
,100mm,1.8,3',,112.8mm,1400g,95mm,,,,,
,135mm,2.0,"3' 3""",,112.8mm,1400g,114mm,,,,,
,,,,,,,,,,,,
65mm Vintage,24mm,1.4,,,,,113mm,,,,,
,29mm,1.4,,,,,113mm,,,,,
,35mm,1.4,,,,,113mm,,,,,
,40mm,2.0,,,,,113mm,,,,,
,50mm,1.4,,,,,113mm,,,,,
,65mm,1.4,,,,,113mm,,,,,
,80mm,1.4,,,,,113mm,,,,,
,100mm,1.4,,,,,113mm,,,,,
,135mm,1.8,,,,,113mm,,,,,
,180mm,2.0,,,,,113mm,,,,,
,300mm,2.8,,,,,113mm,,,,,